N;alimento;kcal;proteina;lipideos;colesterol;carboidrato;fibras;sodio;categoria
180;AMENDOIM TORRADO SALGADO;606.00;22.50;54.00;0.0;18.70;7.80;376.00;Leguminosas e derivados
181;ERVILHA EM VAGEM;88.00;7.50;0.50;0.0;14.20;9.70;0.0;Leguminosas e derivados
182;ERVILHA ENLATADA DRENADA;74.00;4.60;0.40;0.0;13.40;5.10;372.00;Leguminosas e derivados
183;FEIJAO CARIOCA COZIDO;76.00;4.80;0.50;0.0;13.60;8.50;2.00;Leguminosas e derivados
184;FEIJAO CARIOCA CRU;329.00;20.00;1.30;0.0;61.20;18.40;0.0;Leguminosas e derivados
185;FEIJAO FRADINHO COZIDO;78.00;5.10;0.60;0.0;13.50;7.50;1.00;Leguminosas e derivados
186;FEIJAO FRADINHO CRU;339.00;20.20;2.40;0.0;61.20;23.60;10.00;Leguminosas e derivados
187;FEIJAO PRETO COZIDO;77.00;4.50;0.50;0.0;14.00;8.40;2.00;Leguminosas e derivados
188;FEIJAO PRETO CRU;324.00;21.30;1.20;0.0;58.80;21.80;0.0;Leguminosas e derivados
189;GRAO-DE-BICO CRU;355.00;21.20;5.40;0.0;57.90;12.40;5.00;Leguminosas e derivados
190;LENTILHA COZIDA;93.00;6.30;0.50;0.0;16.30;7.90;1.00;Leguminosas e derivados
191;LENTILHA CRUA;339.00;23.20;0.80;0.0;62.00;16.90;0.0;Leguminosas e derivados
192;PACOCA AMENDOIM;487.00;16.00;26.10;0.0;52.40;7.30;167.00;Leguminosas e derivados
193;TESTE1;40.00;10.00;5.0;0.0;0.0;0.0;0.0;Teste
194;TESTE2;160.00;0.0;0.0;0.0;40.0;5.0;0.0;Teste
